   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 ATNDeserializer.py:247(readDecisions)
        2    0.000    0.000    0.000    0.000 ATNDeserializer.py:255(readLexerActions)
        1    0.000    0.000    0.000    0.000 ATNDeserializer.py:33(ATNDeserializer)
        2    0.000    0.000    0.000    0.000 ATNDeserializer.py:36(__init__)
        2    0.000    0.000    0.000    0.000 ATNDeserializer.py:362(markPrecedenceDecisions)
        2    0.001    0.001    0.002    0.001 ATNDeserializer.py:378(verifyATN)
     1666    0.000    0.000    0.000    0.000 ATNDeserializer.py:425(checkCondition)
     6320    0.002    0.000    0.002    0.000 ATNDeserializer.py:431(readInt)
        8    0.000    0.000    0.000    0.000 ATNDeserializer.py:436(readInt32)
        4    0.000    0.000    0.000    0.000 ATNDeserializer.py:441(readLong)
        2    0.000    0.000    0.000    0.000 ATNDeserializer.py:446(readUUID)
      493    0.000    0.000    0.001    0.000 ATNDeserializer.py:453(<lambda>)
       70    0.000    0.000    0.000    0.000 ATNDeserializer.py:456(<lambda>)
      102    0.000    0.000    0.000    0.000 ATNDeserializer.py:460(<lambda>)
       35    0.000    0.000    0.000    0.000 ATNDeserializer.py:462(<lambda>)
       31    0.000    0.000    0.000    0.000 ATNDeserializer.py:464(<lambda>)
        7    0.000    0.000    0.000    0.000 ATNDeserializer.py:466(<lambda>)
      738    0.001    0.000    0.002    0.000 ATNDeserializer.py:474(edgeFactory)
      318    0.000    0.000    0.000    0.000 ATNDeserializer.py:482(<lambda>)
       69    0.000    0.000    0.000    0.000 ATNDeserializer.py:483(<lambda>)
       39    0.000    0.000    0.000    0.000 ATNDeserializer.py:484(<lambda>)
       13    0.000    0.000    0.000    0.000 ATNDeserializer.py:485(<lambda>)
       15    0.000    0.000    0.000    0.000 ATNDeserializer.py:486(<lambda>)
        5    0.000    0.000    0.000    0.000 ATNDeserializer.py:487(<lambda>)
       69    0.000    0.000    0.000    0.000 ATNDeserializer.py:488(<lambda>)
       67    0.000    0.000    0.000    0.000 ATNDeserializer.py:489(<lambda>)
       15    0.000    0.000    0.000    0.000 ATNDeserializer.py:490(<lambda>)
       15    0.000    0.000    0.000    0.000 ATNDeserializer.py:491(<lambda>)
       13    0.000    0.000    0.000    0.000 ATNDeserializer.py:492(<lambda>)
       28    0.000    0.000    0.000    0.000 ATNDeserializer.py:493(<lambda>)
      666    0.000    0.000    0.002    0.000 ATNDeserializer.py:496(stateFactory)
        1    0.000    0.000    0.000    0.000 ATNDeserializer.py:5(<module>)
        1    0.000    0.000    0.000    0.000 ATNDeserializer.py:516(<lambda>)
        1    0.000    0.000    0.000    0.000 ATNDeserializer.py:518(<lambda>)
        4    0.000    0.000    0.000    0.000 ATNDeserializer.py:519(<lambda>)
       10    0.000    0.000    0.000    0.000 ATNDeserializer.py:521(<lambda>)
       16    0.000    0.000    0.000    0.000 ATNDeserializer.py:524(lexerActionFactory)
        2    0.000    0.000    0.000    0.000 ATNDeserializer.py:53(isFeatureSupported)
        2    0.000    0.000    0.015    0.008 ATNDeserializer.py:60(deserialize)
        2    0.000    0.000    0.003    0.001 ATNDeserializer.py:87(reset)
     6320    0.001    0.000    0.002    0.000 ATNDeserializer.py:88(adjust)
        2    0.001    0.001    0.003    0.001 ATNDeserializer.py:91(<listcomp>)
        2    0.000    0.000    0.000    0.000 ATNDeserializer.py:97(checkVersion)
        1    0.000    0.000    0.000    0.000 ATNSimulator.py:12(ATNSimulator)
        1    0.000    0.000    0.001    0.001 ATNSimulator.py:6(<module>)
      666    0.000    0.000    0.000    0.000 ATNState.py:109(__init__)
      808    0.001    0.000    0.001    0.000 ATNState.py:136(addTransition)
        1    0.000    0.000    0.000    0.000 ATNState.py:147(BasicState)
      318    0.000    0.000    0.000    0.000 ATNState.py:149(__init__)
        1    0.000    0.000    0.000    0.000 ATNState.py:154(DecisionState)
      100    0.000    0.000    0.000    0.000 ATNState.py:156(__init__)
        1    0.000    0.000    0.000    0.000 ATNState.py:162(BlockStartState)
       67    0.000    0.000    0.000    0.000 ATNState.py:165(__init__)
        1    0.000    0.000    0.000    0.000 ATNState.py:169(BasicBlockStartState)
       39    0.000    0.000    0.000    0.000 ATNState.py:171(__init__)
        1    0.000    0.000    0.000    0.000 ATNState.py:176(BlockEndState)
       67    0.000    0.000    0.000    0.000 ATNState.py:179(__init__)
        1    0.000    0.000    0.000    0.000 ATNState.py:189(RuleStopState)
       69    0.000    0.000    0.000    0.000 ATNState.py:191(__init__)
        1    0.000    0.000    0.000    0.000 ATNState.py:195(RuleStartState)
       69    0.000    0.000    0.000    0.000 ATNState.py:198(__init__)
        1    0.000    0.000    0.000    0.000 ATNState.py:207(PlusLoopbackState)
       13    0.000    0.000    0.000    0.000 ATNState.py:209(__init__)
        1    0.000    0.000    0.000    0.000 ATNState.py:218(PlusBlockStartState)
       13    0.000    0.000    0.000    0.000 ATNState.py:221(__init__)
        1    0.000    0.000    0.000    0.000 ATNState.py:227(StarBlockStartState)
       15    0.000    0.000    0.000    0.000 ATNState.py:229(__init__)
        1    0.000    0.000    0.000    0.000 ATNState.py:233(StarLoopbackState)
       15    0.000    0.000    0.000    0.000 ATNState.py:235(__init__)
        1    0.000    0.000    0.000    0.000 ATNState.py:240(StarLoopEntryState)
       15    0.000    0.000    0.000    0.000 ATNState.py:243(__init__)
        1    0.000    0.000    0.000    0.000 ATNState.py:251(LoopEndState)
       28    0.000    0.000    0.000    0.000 ATNState.py:254(__init__)
        1    0.000    0.000    0.000    0.000 ATNState.py:260(TokensStartState)
        5    0.000    0.000    0.000    0.000 ATNState.py:262(__init__)
        1    0.000    0.000    0.002    0.002 ATNState.py:67(<module>)
